Nombre;Precio;Fechas;Reseñas
Baldur's Gate 3;$34.99;3 Aug, 2023;482,562
Grand Theft Auto V;$11.09;13 Apr, 2015;1,568,912
EA SPORTS FC™ 24;$20.99;28 Sep, 2023;32,834
Euro Truck Simulator 2;$2.52;12 Oct, 2012;537,939
Cyberpunk 2077;$44.99;9 Dec, 2020;623,184
Tom Clancy's Rainbow Six® Siege;$15.99;1 Dec, 2015;1,032,456
Rust;$18.99;8 Feb, 2018;835,181
ELDEN RING;$47.99;24 Feb, 2022;566,487
Monster Hunter: World;$22.49;9 Aug, 2018;248,751
Granblue Fantasy Versus: Rising;$49.99;13 Dec, 2023;2,221
American Truck Simulator;$2.52;2 Feb, 2016;116,542
Dead by Daylight;$10.49;14 Jun, 2016;509,055
Cyberpunk 2077: Phantom Liberty;$22.49;25 Sep, 2023;12,609
Hell Let Loose;$13.64;27 Jul, 2021;73,139
Red Dead Redemption 2;$59.99;5 Dec, 2019;480,045
The Elder Scrolls® Online;$11.99;22 May, 2017;117,216
Cult of the Lamb;$7.49;11 Aug, 2022;58,311
Stardew Valley;$4.99;26 Feb, 2016;543,450
Sons Of The Forest;$14.99;23 Feb, 2023;155,217
Forza Horizon 5;$32.78;8 Nov, 2021;145,324
Project Zomboid;$10.49;8 Nov, 2013;204,333
Phasmophobia VR Supported;$7.79;18 Sep, 2020;527,345
New World;$39.99;28 Sep, 2021;232,766
Wallpaper Engine;$2.79;Nov 2018;680,477
Football Manager 2024;$39.99;6 Nov, 2023;4,570
Sea of Thieves 2023 Edition;$39.99;3 Jun, 2020;268,442
Hogwarts Legacy;$30.00;10 Feb, 2023;180,142
Roboquest;$9.74;7 Nov, 2023;9,712
ARK: Survival Ascended;$20.99;25 Oct, 2023;38,297
Black Desert;$3.59;15 Nov, 2017;52,482
Warhammer 40,000: Rogue Trader;$24.99;7 Dec, 2023;8,382
BeamNG.drive;$12.49;29 May, 2015;205,068
Monster Hunter World: Iceborne;$29.99;9 Jan, 2020;15,888
Fallout 76;$23.99;14 Apr, 2020;49,854
House Flipper 2;$15.99;14 Dec, 2023;4,419
Raft;$19.99;20 Jun, 2022;253,718
Call to Arms - Gates of Hell: Ostfront;$4.49;11 Jun, 2021;13,092
Party Animals;$13.49;20 Sep, 2023;30,014
Team Fortress 2;Free;10 Oct, 2007;1,022,609
Borderlands 3;$8.99;13 Mar, 2020;99,119
RimWorld;$17.99;17 Oct, 2018;149,186
DAVE THE DIVER;$12.99;28 Jun, 2023;83,059
theHunter: Call of the Wild™;$10.49;16 Feb, 2017;125,037
Street Fighter™ 6;$44.99;1 Jun, 2023;20,968
The Elder Scrolls V: Skyrim Special Edition;$23.99;27 Oct, 2016;151,550
Terraria;$5.79;16 May, 2011;988,916
DayZ;$44.99;13 Dec, 2018;312,215
Stellaris;$23.99;9 May, 2016;112,201
Sid Meier’s Civilization® VI;$47.01;20 Oct, 2016;214,082
Farming Simulator 22;$9.99;21 Nov, 2021;45,533
Baldur's Gate 3;$34.99;3 Aug, 2023;482,562
Grand Theft Auto V;$11.09;13 Apr, 2015;1,568,912
EA SPORTS FC™ 24;$20.99;28 Sep, 2023;32,834
Euro Truck Simulator 2;$2.52;12 Oct, 2012;537,939
Cyberpunk 2077;$44.99;9 Dec, 2020;623,184
Tom Clancy's Rainbow Six® Siege;$15.99;1 Dec, 2015;1,032,456
Rust;$18.99;8 Feb, 2018;835,181
ELDEN RING;$47.99;24 Feb, 2022;566,487
Monster Hunter: World;$22.49;9 Aug, 2018;248,751
Granblue Fantasy Versus: Rising;$49.99;13 Dec, 2023;2,221
